0,1,9
0,2,55
0,3,58
0,24,99
1,0,70
1,4,28
1,5,44
1,25,62
2,0,92
2,6,87
2,7,98
2,26,10
3,0,88
3,8,18
3,9,36
3,27,79
4,1,50
4,10,53
4,11,59
4,28,41
5,1,98
5,12,86
5,13,3
5,29,42
6,2,97
6,14,80
6,15,31
6,30,29
7,2,38
7,16,100
7,17,59
7,31,99
8,3,55
8,18,68
8,19,49
8,32,76
9,3,48
9,20,44
9,21,37
9,33,39
10,4,83
10,22,34
10,23,49
10,34,70
11,4,4
11,24,36
11,25,100
11,35,53
12,5,40
12,26,58
12,27,94
12,36,38
13,5,95
13,28,48
13,29,31
13,37,43
14,6,27
14,30,13
14,31,71
14,38,16
15,6,12
15,32,82
15,33,66
15,39,18
16,7,49
16,34,66
16,35,45
16,40,96
17,7,10
17,36,82
17,37,35
17,41,92
18,8,67
18,38,35
18,39,61
18,42,70
19,8,22
19,40,60
19,41,75
19,43,13
20,9,69
20,42,68
20,43,50
20,44,16
21,9,15
21,44,80
21,45,58
21,45,93
22,10,92
22,46,81
22,47,60
22,46,56
23,10,62
23,48,26
23,49,25
23,47,10
24,11,91
24,0,70
24,48,6
25,11,52
25,1,3
25,49,92
26,12,43
26,2,21
27,12,78
27,3,55
28,13,91
28,4,51
29,13,66
29,5,65
30,14,63
30,6,87
31,14,84
31,7,13
32,15,2
32,8,50
33,15,44
33,9,59
34,16,94
34,10,88
35,16,39
35,11,53
36,17,95
36,12,100
37,17,30
37,13,71
38,18,62
38,14,21
39,18,92
39,15,67
40,19,72
40,16,94
41,19,10
41,17,67
42,20,67
42,18,87
43,20,21
43,19,57
44,21,89
44,20,39
45,21,73
45,21,51
46,22,25
46,22,8
47,22,63
47,23,78
48,23,9
48,24,59
49,23,36
49,25,2
